Date;Start;End;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jul 16, 2023;12:00 AM;1:00 AM;39,722.75;20,578;352.25
Jul 16, 2023;1:00 AM;2:00 AM;38,280.25;17,499.75;1,850.75
Jul 16, 2023;2:00 AM;3:00 AM;36,885.5;14,759.75;2,692.25
Jul 16, 2023;3:00 AM;4:00 AM;37,141;13,475.25;1,954.5
Jul 16, 2023;4:00 AM;5:00 AM;36,419.25;12,406.25;1,577.25
Jul 16, 2023;5:00 AM;6:00 AM;35,939.25;13,437.25;1,277
Jul 16, 2023;6:00 AM;7:00 AM;36,804.75;13,769.5;1,336.75
Jul 16, 2023;7:00 AM;8:00 AM;39,086.75;11,582.25;1,830.5
Jul 16, 2023;8:00 AM;9:00 AM;42,425;8,420;1,791
Jul 16, 2023;9:00 AM;10:00 AM;44,930.25;4,109.75;2,137.5
Jul 16, 2023;10:00 AM;11:00 AM;47,206.25;865.75;2,697.75
Jul 16, 2023;11:00 AM;12:00 PM;48,804.25;-931.75;2,943.5
Jul 16, 2023;12:00 PM;1:00 PM;49,041.75;-2,373;3,514.75
Jul 16, 2023;1:00 PM;2:00 PM;47,431;-2,176.25;4,219.5
Jul 16, 2023;2:00 PM;3:00 PM;45,885.5;-496.25;4,278.25
Jul 16, 2023;3:00 PM;4:00 PM;44,985.25;16.25;4,030.25
Jul 16, 2023;4:00 PM;5:00 PM;44,608.75;1,623;2,611
Jul 16, 2023;5:00 PM;6:00 PM;45,043.5;7,598;2,405.25
Jul 16, 2023;6:00 PM;7:00 PM;45,864.5;15,766;1,597
Jul 16, 2023;7:00 PM;8:00 PM;45,788.75;25,936;832.5
Jul 16, 2023;8:00 PM;9:00 PM;45,382.75;32,459;355
Jul 16, 2023;9:00 PM;10:00 PM;44,236.5;32,858;94
Jul 16, 2023;10:00 PM;11:00 PM;43,647;32,758.25;14.25
Jul 16, 2023;11:00 PM;12:00 AM;41,133;29,869.75;15.5
Jul 17, 2023;12:00 AM;1:00 AM;39,452;27,208;157
Jul 17, 2023;1:00 AM;2:00 AM;38,152.25;25,353.25;454.5
Jul 17, 2023;2:00 AM;3:00 AM;37,452.75;24,713.75;510.75
Jul 17, 2023;3:00 AM;4:00 AM;37,402;23,793.75;918
Jul 17, 2023;4:00 AM;5:00 AM;38,766.75;24,322.75;978.75
Jul 17, 2023;5:00 AM;6:00 AM;42,118.5;26,797.5;542
Jul 17, 2023;6:00 AM;7:00 AM;49,078.5;31,308;191.75
Jul 17, 2023;7:00 AM;8:00 AM;54,509.5;33,634.75;16.25
Jul 17, 2023;8:00 AM;9:00 AM;57,828.25;30,025.75;399
Jul 17, 2023;9:00 AM;10:00 AM;58,954.75;21,945.5;1,176
Jul 17, 2023;10:00 AM;11:00 AM;59,990.25;14,968;2,467.25
Jul 17, 2023;11:00 AM;12:00 PM;62,209.75;11,729.75;3,388.75
Jul 17, 2023;12:00 PM;1:00 PM;62,137.5;10,767;4,006.25
Jul 17, 2023;1:00 PM;2:00 PM;61,325.75;9,808.5;3,487.5
Jul 17, 2023;2:00 PM;3:00 PM;60,248.5;9,828.5;3,422
Jul 17, 2023;3:00 PM;4:00 PM;59,201.75;10,944;2,994.5
Jul 17, 2023;4:00 PM;5:00 PM;57,976.25;13,890.5;2,441.75
Jul 17, 2023;5:00 PM;6:00 PM;57,958.75;19,204.5;1,392
Jul 17, 2023;6:00 PM;7:00 PM;57,783.5;25,361;410.25
Jul 17, 2023;7:00 PM;8:00 PM;56,747.75;31,096.75;219.5
Jul 17, 2023;8:00 PM;9:00 PM;54,652.5;35,153.25;100
Jul 17, 2023;9:00 PM;10:00 PM;51,841.25;36,591.75;11
Jul 17, 2023;10:00 PM;11:00 PM;49,438.5;34,994.75;8.75
Jul 17, 2023;11:00 PM;12:00 AM;46,507;32,171.5;140.5
Jul 18, 2023;12:00 AM;1:00 AM;44,314.5;30,457.25;258.25
Jul 18, 2023;1:00 AM;2:00 AM;42,481.25;29,561;110.5
Jul 18, 2023;2:00 AM;3:00 AM;41,324.25;29,394.5;348.25
Jul 18, 2023;3:00 AM;4:00 AM;41,076.5;29,757.75;610.75
Jul 18, 2023;4:00 AM;5:00 AM;41,604;31,165;883.25
Jul 18, 2023;5:00 AM;6:00 AM;43,857.5;33,793;499.25
Jul 18, 2023;6:00 AM;7:00 AM;49,513.75;38,570.75;147.25
Jul 18, 2023;7:00 AM;8:00 AM;54,312;39,810;13.25
Jul 18, 2023;8:00 AM;9:00 AM;57,184.5;36,259.75;418.75
Jul 18, 2023;9:00 AM;10:00 AM;57,862.75;28,319.75;1,051
Jul 18, 2023;10:00 AM;11:00 AM;58,458;21,497.25;1,519
Jul 18, 2023;11:00 AM;12:00 PM;60,128.75;19,517;2,074.25
Jul 18, 2023;12:00 PM;1:00 PM;61,277.75;21,696;2,284.5
Jul 18, 2023;1:00 PM;2:00 PM;60,645.25;24,272;1,987.25
Jul 18, 2023;2:00 PM;3:00 PM;58,272.75;25,105.75;2,106
Jul 18, 2023;3:00 PM;4:00 PM;56,448.75;25,918.25;2,446.25
Jul 18, 2023;4:00 PM;5:00 PM;55,242.5;27,280.5;2,086
Jul 18, 2023;5:00 PM;6:00 PM;55,293.75;32,035;1,089.75
Jul 18, 2023;6:00 PM;7:00 PM;55,540.5;40,107;422.75
Jul 18, 2023;7:00 PM;8:00 PM;54,576.25;46,952.5;6.25
Jul 18, 2023;8:00 PM;9:00 PM;52,504.5;49,299.75;4.5
Jul 18, 2023;9:00 PM;10:00 PM;50,549.25;48,724;4.25
Jul 18, 2023;10:00 PM;11:00 PM;48,876.75;47,282.5;4.75
Jul 18, 2023;11:00 PM;12:00 AM;45,739.25;44,413;7.75
Jul 19, 2023;12:00 AM;1:00 AM;43,329.25;42,120.5;18
Jul 19, 2023;1:00 AM;2:00 AM;41,935.5;40,927;315.5
Jul 19, 2023;2:00 AM;3:00 AM;41,005.75;40,076.5;443.75
Jul 19, 2023;3:00 AM;4:00 AM;40,670.25;39,733.75;485.5
Jul 19, 2023;4:00 AM;5:00 AM;41,414.75;40,240.75;598.5
Jul 19, 2023;5:00 AM;6:00 AM;43,634;41,560;818.25
Jul 19, 2023;6:00 AM;7:00 AM;49,048.5;43,994.25;269.75
Jul 19, 2023;7:00 AM;8:00 AM;54,164.5;44,648.75;14.25
Jul 19, 2023;8:00 AM;9:00 AM;57,689.25;43,136.25;74.25
Jul 19, 2023;9:00 AM;10:00 AM;58,904.75;37,848;267.75
Jul 19, 2023;10:00 AM;11:00 AM;60,762.75;32,609.5;617.75
Jul 19, 2023;11:00 AM;12:00 PM;61,866.5;29,225.75;802.5
Jul 19, 2023;12:00 PM;1:00 PM;62,086.75;27,350.75;1,751.5
Jul 19, 2023;1:00 PM;2:00 PM;61,084.5;25,634.75;2,295.25
Jul 19, 2023;2:00 PM;3:00 PM;60,158;25,417.75;2,653.5
Jul 19, 2023;3:00 PM;4:00 PM;58,954.25;26,428;2,499.25
Jul 19, 2023;4:00 PM;5:00 PM;57,546.25;27,814.75;2,534.25
Jul 19, 2023;5:00 PM;6:00 PM;58,019.5;33,456.75;848.75
Jul 19, 2023;6:00 PM;7:00 PM;56,861;38,434.5;303
Jul 19, 2023;7:00 PM;8:00 PM;55,522.75;42,424.25;106.5
Jul 19, 2023;8:00 PM;9:00 PM;53,016.5;44,243.75;12.25
Jul 19, 2023;9:00 PM;10:00 PM;51,189;44,279.25;11.75
Jul 19, 2023;10:00 PM;11:00 PM;48,952;42,653;12.25
Jul 19, 2023;11:00 PM;12:00 AM;45,358;39,534;43.75
Jul 20, 2023;12:00 AM;1:00 AM;43,261.75;37,141.5;177.25
Jul 20, 2023;1:00 AM;2:00 AM;41,609.5;34,973.25;561.75
Jul 20, 2023;2:00 AM;3:00 AM;40,884.5;33,594;927.25
Jul 20, 2023;3:00 AM;4:00 AM;40,508.25;32,148.5;1,279.75
Jul 20, 2023;4:00 AM;5:00 AM;41,711.5;32,882.25;2,554.25
Jul 20, 2023;5:00 AM;6:00 AM;44,075.75;34,459.5;674
Jul 20, 2023;6:00 AM;7:00 AM;49,566.25;38,374.5;44
Jul 20, 2023;7:00 AM;8:00 AM;54,324.25;40,329.75;13.75
Jul 20, 2023;8:00 AM;9:00 AM;57,988.5;37,990.75;279.25
Jul 20, 2023;9:00 AM;10:00 AM;59,288.5;31,396.75;301
Jul 20, 2023;10:00 AM;11:00 AM;59,839.5;25,512.25;434
Jul 20, 2023;11:00 AM;12:00 PM;61,192;21,737.75;1,296.75
Jul 20, 2023;12:00 PM;1:00 PM;61,161.75;19,587.5;2,098
Jul 20, 2023;1:00 PM;2:00 PM;59,700.75;17,472.5;2,657.5
Jul 20, 2023;2:00 PM;3:00 PM;58,457.75;16,990.25;2,640.75
Jul 20, 2023;3:00 PM;4:00 PM;57,430;19,012.5;2,283
Jul 20, 2023;4:00 PM;5:00 PM;56,204.75;21,945.25;1,817.25
Jul 20, 2023;5:00 PM;6:00 PM;55,664.75;27,126.75;1,094.5
Jul 20, 2023;6:00 PM;7:00 PM;55,246.5;34,739.75;240
Jul 20, 2023;7:00 PM;8:00 PM;53,833.5;42,066.25;146.5
Jul 20, 2023;8:00 PM;9:00 PM;51,687;45,578.5;4.5
Jul 20, 2023;9:00 PM;10:00 PM;49,752;45,789;5.5
Jul 20, 2023;10:00 PM;11:00 PM;47,671.75;44,061;7
Jul 20, 2023;11:00 PM;12:00 AM;45,116.75;41,821;41.5
Jul 21, 2023;12:00 AM;1:00 AM;42,885.25;39,442;26.75
Jul 21, 2023;1:00 AM;2:00 AM;41,280.5;38,237.25;128.25
Jul 21, 2023;2:00 AM;3:00 AM;40,276;37,409.75;452.5
Jul 21, 2023;3:00 AM;4:00 AM;40,191.25;37,266;510
Jul 21, 2023;4:00 AM;5:00 AM;40,932.75;38,114.5;593.5
Jul 21, 2023;5:00 AM;6:00 AM;43,202.25;40,715.5;49
Jul 21, 2023;6:00 AM;7:00 AM;48,478.75;44,591.25;16.75
Jul 21, 2023;7:00 AM;8:00 AM;53,068.25;45,706.5;8
Jul 21, 2023;8:00 AM;9:00 AM;56,504.5;44,819;38
Jul 21, 2023;9:00 AM;10:00 AM;58,197.5;41,478.5;199.25
Jul 21, 2023;10:00 AM;11:00 AM;58,724;38,234.25;249.5
Jul 21, 2023;11:00 AM;12:00 PM;59,173.5;35,687.75;630
Jul 21, 2023;12:00 PM;1:00 PM;59,056.5;33,406.25;1,804.25
Jul 21, 2023;1:00 PM;2:00 PM;57,988.75;33,138;1,825.75
Jul 21, 2023;2:00 PM;3:00 PM;55,351.5;31,207;2,311.75
Jul 21, 2023;3:00 PM;4:00 PM;54,823.25;31,584.25;2,263.75
Jul 21, 2023;4:00 PM;5:00 PM;54,449.75;33,039.75;1,806.5
Jul 21, 2023;5:00 PM;6:00 PM;53,947.75;35,196.5;572.5
Jul 21, 2023;6:00 PM;7:00 PM;53,551.5;39,185.5;132.5
Jul 21, 2023;7:00 PM;8:00 PM;52,207;41,865.25;14.75
Jul 21, 2023;8:00 PM;9:00 PM;49,688;42,537.25;8
Jul 21, 2023;9:00 PM;10:00 PM;47,855.25;41,903;8.75
Jul 21, 2023;10:00 PM;11:00 PM;45,759.5;38,016.25;97.75
Jul 21, 2023;11:00 PM;12:00 AM;42,859.5;33,138.75;473.25
Jul 22, 2023;12:00 AM;1:00 AM;40,355.5;29,346.5;215
Jul 22, 2023;1:00 AM;2:00 AM;38,625.25;26,247.5;474.75
Jul 22, 2023;2:00 AM;3:00 AM;37,582.75;24,945.75;233.5
Jul 22, 2023;3:00 AM;4:00 AM;36,900.25;24,681;386.5
Jul 22, 2023;4:00 AM;5:00 AM;36,821;24,628.25;582.5
Jul 22, 2023;5:00 AM;6:00 AM;36,999;24,964.75;469.25
Jul 22, 2023;6:00 AM;7:00 AM;38,209.75;25,732.25;348.5
Jul 22, 2023;7:00 AM;8:00 AM;40,990.25;25,433.75;762.25
Jul 22, 2023;8:00 AM;9:00 AM;44,480.75;23,713;940
Jul 22, 2023;9:00 AM;10:00 AM;46,401.75;18,137.25;1,442.75
Jul 22, 2023;10:00 AM;11:00 AM;48,248.75;14,033.25;3,286.75
Jul 22, 2023;11:00 AM;12:00 PM;49,020;11,486.75;4,146.5
Jul 22, 2023;12:00 PM;1:00 PM;48,241.5;9,868;4,104
Jul 22, 2023;1:00 PM;2:00 PM;46,587.5;8,392;4,049
Jul 22, 2023;2:00 PM;3:00 PM;45,040.5;7,256.75;3,814.25
Jul 22, 2023;3:00 PM;4:00 PM;44,459;8,617.75;3,752.75
Jul 22, 2023;4:00 PM;5:00 PM;44,581.75;12,918.25;3,106.5
Jul 22, 2023;5:00 PM;6:00 PM;44,897.75;18,285.75;1,568.75
Jul 22, 2023;6:00 PM;7:00 PM;45,231.5;25,114.25;621.25
Jul 22, 2023;7:00 PM;8:00 PM;44,734.5;31,531.75;148.75
Jul 22, 2023;8:00 PM;9:00 PM;43,362.5;35,165;10.75
Jul 22, 2023;9:00 PM;10:00 PM;42,349.5;35,448.75;11
Jul 22, 2023;10:00 PM;11:00 PM;41,076;33,106.5;64.5
Jul 22, 2023;11:00 PM;12:00 AM;38,878.5;28,656.25;445.25
Jul 23, 2023;12:00 AM;1:00 AM;36,748.75;24,738.5;298.5
