Date;Start;End;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jul 16, 2023;12:00 AM;12:00 AM;100,314;38,316.5;85,050;365,962.5;271,870.5;2,472;0;111,587.75;32,574.5;79,778.5;18,551;33,012.25
Jul 17, 2023;12:00 AM;12:00 AM;100,493.75;42,976.75;83,624;327,099;275,398.5;2,472;0;141,075.75;62,575.5;120,713.25;24,909.75;34,139.75
Jul 18, 2023;12:00 AM;12:00 AM;101,685.75;43,353.75;40,674.25;110,853.75;294,367.75;2,472;0;191,815.75;72,276.25;166,686.5;27,442.25;33,774.25
Jul 19, 2023;12:00 AM;12:00 AM;101,010.75;47,274.5;12,024.5;114,379.25;242,978;2,472;0;203,469.5;79,467.75;199,748.75;22,217.75;30,685.25
Jul 20, 2023;12:00 AM;12:00 AM;100,359;47,399.75;59,016.5;143,570;266,860;2,472;0;186,172.5;66,186;177,829;24,021.25;32,151
Jul 21, 2023;12:00 AM;12:00 AM;101,324.25;45,337.25;21,681;79,747.5;193,104.25;2,472;0;191,032;63,390;200,342.5;25,601.25;31,575.5
Jul 22, 2023;12:00 AM;12:00 AM;102,103.75;42,300.25;42,609;198,525.75;255,229.75;2,472;0;116,796;39,576.5;77,804.25;23,352.75;33,322.75
Jul 23, 2023;12:00 AM;12:00 AM;102,278.75;37,576.25;98,060.75;408,722.5;202,216;2,472;0;94,225;39,883.75;68,265.25;12,800.5;34,808
Jul 24, 2023;12:00 AM;12:00 AM;102,049.25;38,003;50,578;345,932.75;179,628.75;2,472;0;134,364.75;53,544.5;121,665.75;29,581;35,493.25
Jul 25, 2023;12:00 AM;12:00 AM;101,528;47,411.5;76,223.75;195,699.75;176,042;2,472;0;146,107.5;51,318.5;146,925.5;24,046.25;34,903.25
