Date;Start;End;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jul 16, 2023;12:00 AM;1:00 AM;4,326.5;1,536.5;5,848.25;13,296.5;0;103;0;4,676.5;1,261.5;3,002;858.25;1,434.25
Jul 16, 2023;1:00 AM;2:00 AM;4,274;1,544;5,753;15,027.5;0;103;0;4,632.25;1,107;3,468.25;210.25;1,429.5
Jul 16, 2023;2:00 AM;3:00 AM;4,224.5;1,610.25;6,047.5;16,078.25;0;103;0;4,591;836.5;3,827.25;20;1,433
Jul 16, 2023;3:00 AM;4:00 AM;4,154.75;1,588;5,580.5;18,085.25;0;103;0;4,638.5;829.5;3,806;57.75;1,428.5
Jul 16, 2023;4:00 AM;5:00 AM;4,120.5;1,633.25;5,244;18,768;1;103;0;4,642.75;856.25;3,806.5;35.25;1,431
Jul 16, 2023;5:00 AM;6:00 AM;4,090.75;1,669;4,512.25;17,878.5;111.25;103;0;4,567.75;1,068.25;3,373.5;286.5;1,437.25
Jul 16, 2023;6:00 AM;7:00 AM;4,102;1,640.5;3,346.25;18,270;1,419;103;0;4,485.75;1,221.75;3,271.75;462.25;1,419.5
Jul 16, 2023;7:00 AM;8:00 AM;4,137;1,616.25;3,809.25;18,657;5,038.25;103;0;4,502;1,361.25;3,250.5;479;1,414.75
Jul 16, 2023;8:00 AM;9:00 AM;4,193.75;1,686.5;3,601;19,380.25;11,023.75;103;0;4,444.5;1,435.25;2,804.25;479.25;1,404.25
Jul 16, 2023;9:00 AM;10:00 AM;4,233.5;1,610.5;1,821.25;20,931.5;18,067.75;103;0;4,164.75;1,249;2,202.5;729.5;1,395.25
Jul 16, 2023;10:00 AM;11:00 AM;4,273.75;1,629.25;2,101.5;19,812.25;24,426.75;103;0;3,909;1,006.75;2,207;605.75;1,402.5
Jul 16, 2023;11:00 AM;12:00 PM;4,281;1,690.75;2,208.5;18,689.75;28,837.75;103;0;3,730;897.75;2,138;487.75;1,384.75
Jul 16, 2023;12:00 PM;1:00 PM;4,257.25;1,445.5;1,825.5;18,468;31,121.25;103;0;3,668.25;885.5;2,124.25;246;1,219
Jul 16, 2023;1:00 PM;2:00 PM;4,163.75;1,356;1,746.5;16,370.75;31,490;103;0;3,668.25;871;2,095;57;1,195.5
Jul 16, 2023;2:00 PM;3:00 PM;4,105.75;1,352;1,712.75;14,105.75;30,563.25;103;0;3,661;907.75;2,141.75;132;1,193.5
Jul 16, 2023;3:00 PM;4:00 PM;4,077.25;1,356.25;2,012.25;14,663;28,293.75;103;0;3,656.25;1,095.75;2,045.25;129.25;1,187.75
Jul 16, 2023;4:00 PM;5:00 PM;4,081.5;1,471.75;2,107.5;16,637.75;24,240.5;103;0;3,745.5;1,316;2,168.5;553.5;1,234.5
Jul 16, 2023;5:00 PM;6:00 PM;4,077.75;1,609.75;1,629.75;17,392.25;18,423.5;103;0;4,281.75;1,733.5;3,039.75;937;1,396.75
Jul 16, 2023;6:00 PM;7:00 PM;4,099;1,722.25;2,916.5;15,488.75;11,693.25;103;0;4,833;2,160.75;4,041.5;1,061.25;1,420.25
Jul 16, 2023;7:00 PM;8:00 PM;4,135.25;1,744.75;2,646;11,671;5,535.75;103;0;5,387.75;2,158;4,607.75;1,549.5;1,423
Jul 16, 2023;8:00 PM;9:00 PM;4,176;1,776;3,494.25;7,914.75;1,514.75;103;0;6,314;2,251.5;4,842.75;1,913.25;1,434.5
Jul 16, 2023;9:00 PM;10:00 PM;4,223.5;1,677.25;4,882;6,427.5;69;103;0;6,576.25;2,161.5;5,309.25;2,607.5;1,431.25
Jul 16, 2023;10:00 PM;11:00 PM;4,248.75;1,700.5;5,126.75;5,762;0;103;0;6,537.5;1,974;5,118.25;2,748;1,430.75
