Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2025;Jan 2, 2025;92,642.50;33,560.75;68,182.50;904,260.75;56,781.25;3,054.00;-;78,747.75;56,688.50;94,714.25;5,171.25;43,258.75
Jan 2, 2025;Jan 3, 2025;98,269.50;34,751.75;131,287.00;506,115.50;29,470.75;3,026.00;-;189,536.50;100,554.00;197,138.50;34,925.25;42,397.75
Jan 3, 2025;Jan 4, 2025;96,623.50;35,305.00;96,849.75;678,718.75;30,355.50;3,118.25;-;196,708.25;108,910.25;215,450.25;11,116.75;41,535.75
Jan 4, 2025;Jan 5, 2025;99,989.75;36,686.25;56,389.50;259,667.75;27,526.25;3,238.00;-;283,078.50;119,107.00;199,086.00;34,604.50;42,372.00
Jan 5, 2025;Jan 6, 2025;97,232.50;37,078.00;107,471.00;494,995.75;9,092.50;3,196.25;-;197,156.75;44,942.25;144,152.75;10,062.00;41,021.25
Jan 6, 2025;Jan 7, 2025;92,141.00;39,849.25;110,000.50;935,617.50;40,295.25;3,105.50;-;86,080.00;47,030.50;115,267.50;17,397.75;40,178.75
Jan 7, 2025;Jan 8, 2025;99,018.75;41,676.25;92,782.75;869,129.00;47,116.25;3,126.00;-;135,939.50;75,857.00;160,414.50;33,120.00;37,488.75
Jan 8, 2025;Jan 9, 2025;102,934.50;41,683.75;92,283.50;571,546.50;32,787.00;3,165.50;-;232,763.50;139,722.50;255,269.75;24,684.75;39,383.00
Jan 9, 2025;Jan 10, 2025;104,521.75;46,138.00;49,488.00;380,266.00;30,077.50;3,115.74;-;271,461.75;162,552.00;269,352.50;36,491.00;42,932.25
Jan 10, 2025;Jan 11, 2025;105,109.00;44,025.75;94,535.00;521,278.50;40,318.25;3,241.16;-;243,388.75;140,550.25;237,122.25;28,852.25;42,821.00
Jan 11, 2025;Jan 12, 2025;104,108.00;40,592.75;57,245.75;507,007.75;51,872.50;3,284.71;-;193,908.50;132,947.75;259,845.00;6,619.75;41,657.00
Jan 12, 2025;Jan 13, 2025;105,522.25;41,416.00;24,254.75;255,121.50;64,977.75;3,293.17;-;235,072.75;134,282.25;228,473.50;23,466.00;43,225.00
Jan 13, 2025;Jan 14, 2025;105,622.50;44,677.25;105,549.00;179,902.50;83,647.75;3,157.53;-;253,384.75;149,359.00;336,356.25;39,066.00;48,310.75
Jan 14, 2025;Jan 15, 2025;106,140.00;46,245.75;140,255.75;437,204.75;68,972.25;3,165.58;-;251,743.00;140,928.75;362,327.75;28,614.50;50,241.00
Jan 15, 2025;Jan 16, 2025;108,019.50;50,019.75;27,973.00;153,305.00;22,816.50;3,219.50;-;290,373.00;153,176.75;420,208.00;43,421.00;44,204.25
Jan 16, 2025;Jan 17, 2025;106,186.50;47,684.50;94,357.00;115,134.75;45,649.00;3,227.50;-;258,973.75;131,179.50;399,633.25;35,127.75;43,148.50
Jan 17, 2025;Jan 18, 2025;106,707.25;50,953.00;90,572.50;62,176.75;33,999.50;3,238.25;-;270,614.75;132,500.25;386,613.75;43,448.25;46,307.75
Jan 18, 2025;Jan 19, 2025;106,589.75;45,409.50;20,504.50;61,516.25;70,783.50;3,204.25;-;249,656.75;133,499.25;344,004.75;21,668.25;43,539.75
Jan 19, 2025;Jan 20, 2025;104,993.75;42,393.75;5,009.25;130,763.00;107,347.25;3,193.50;-;244,919.00;134,927.00;289,150.25;14,864.50;43,274.50
Jan 20, 2025;Jan 21, 2025;108,137.25;50,612.50;26,526.00;93,391.50;76,330.00;3,138.25;-;260,282.00;158,795.75;389,733.75;49,746.75;36,587.25
Jan 21, 2025;Jan 22, 2025;108,407.25;50,616.00;101,733.25;66,455.25;72,233.75;3,204.00;-;284,828.50;159,155.00;417,402.00;44,298.75;39,681.25
Jan 22, 2025;Jan 23, 2025;107,651.50;45,096.50;34,275.25;287,857.75;65,603.00;3,237.25;-;278,849.00;158,453.75;381,848.75;33,496.50;37,119.25
Jan 23, 2025;Jan 24, 2025;102,885.50;37,857.25;103,467.50;642,017.25;33,519.00;3,234.50;-;224,805.25;130,010.75;248,827.50;18,311.75;35,098.50
Jan 24, 2025;Jan 25, 2025;101,346.00;36,599.00;124,716.25;779,479.25;62,504.75;2,940.75;-;123,167.50;94,998.50;200,716.75;10,556.25;33,828.25
Jan 25, 2025;Jan 26, 2025;106,373.25;34,852.25;107,712.00;460,465.50;53,975.75;2,683.50;-;185,713.00;76,879.75;149,356.75;39,803.00;33,470.00
Jan 26, 2025;Jan 27, 2025;107,170.50;34,352.00;56,047.00;354,777.00;54,017.75;2,782.50;-;228,010.75;63,638.00;144,628.50;16,426.00;35,981.00
Jan 27, 2025;Jan 28, 2025;105,047.50;36,010.25;129,650.00;785,890.50;45,989.00;2,749.00;-;145,832.25;59,115.75;148,791.50;20,936.25;34,391.00
Jan 28, 2025;Jan 29, 2025;106,747.00;43,231.75;126,830.50;484,716.25;44,580.00;2,611.00;-;214,336.25;90,511.75;193,021.50;41,112.50;34,344.50
Jan 29, 2025;Jan 30, 2025;105,545.00;44,391.50;100,070.25;648,855.75;66,163.25;2,815.00;-;205,616.00;90,137.00;183,939.75;25,950.00;34,723.75
Jan 30, 2025;Jan 31, 2025;106,993.25;44,727.50;102,114.50;268,692.00;69,635.75;3,199.50;-;243,911.00;137,830.50;280,528.50;30,488.00;29,681.75
Jan 31, 2025;Feb 1, 2025;107,288.75;42,966.75;61,684.25;304,805.25;89,026.25;3,239.25;-;268,103.00;152,799.50;270,898.25;29,265.00;31,412.50
Feb 1, 2025;Feb 2, 2025;106,977.50;41,715.00;7,928.00;100,842.00;124,061.25;3,286.50;-;285,516.50;150,912.50;222,211.00;21,205.00;32,391.00
Feb 2, 2025;Feb 3, 2025;106,675.00;40,175.00;17,128.50;46,868.00;126,384.25;3,268.00;-;287,189.75;140,651.25;212,370.00;14,445.50;32,685.75
Feb 3, 2025;Feb 4, 2025;108,076.50;44,375.00;36,594.25;50,420.75;108,915.25;3,044.25;-;290,509.50;128,561.25;343,633.75;42,708.75;36,145.75
