Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2025 12:00 AM;Jan 1, 2025 1:00 AM;3818.5;1441;2502;32875.75;9.5;131.25;0;3269.5;2806.5;4692.5;458;1895
Jan 1, 2025 1:00 AM;Jan 1, 2025 2:00 AM;3763;1380;2395.5;33520;9.5;131;0;3739.25;2719;4327.5;144.25;1871
Jan 1, 2025 2:00 AM;Jan 1, 2025 3:00 AM;3737;1343.75;2614;33767;9;131;0;3265;2717;4217.75;1;1837.25
Jan 1, 2025 3:00 AM;Jan 1, 2025 4:00 AM;3739.5;1316.25;1684.25;32876.25;9.25;127.75;0;3226.5;2639;4279.5;97;1789
Jan 1, 2025 4:00 AM;Jan 1, 2025 5:00 AM;3714.5;1321.5;1327.75;33113.75;9;127.5;0;3237.5;2583.25;4335;3.25;1770.25
Jan 1, 2025 5:00 AM;Jan 1, 2025 6:00 AM;3715.75;1298.25;1163.25;33570.75;9.25;129.75;0;3223.75;2403.25;4464;0;1766
Jan 1, 2025 6:00 AM;Jan 1, 2025 7:00 AM;3751.5;1350.5;1037;35440.25;10.5;129.5;0;3237;2268.25;4477.75;16.75;1763
Jan 1, 2025 7:00 AM;Jan 1, 2025 8:00 AM;3783;1454;1310;36089.75;12.5;129.25;0;3251.25;1987.75;4427;95;1761
Jan 1, 2025 8:00 AM;Jan 1, 2025 9:00 AM;3886.75;1411.25;2419;35661.5;723.5;128.75;0;3241.25;1860;4080.75;56.75;1748.5
Jan 1, 2025 9:00 AM;Jan 1, 2025 10:00 AM;3895.25;1446.5;2093.75;34597.25;4051.75;128.25;0;3238.5;1828.25;4009.75;40.5;1757.75
Jan 1, 2025 10:00 AM;Jan 1, 2025 11:00 AM;3822;1431.5;2116.25;36147;7913;126.75;0;3273.25;1844.25;3988;26.5;1791.5
Jan 1, 2025 11:00 AM;Jan 1, 2025 12:00 PM;3830;1437.25;1851;35918.25;11146.75;124.75;0;3265.5;1849.75;3969.5;54.25;1829
Jan 1, 2025 12:00 PM;Jan 1, 2025 1:00 PM;3772.5;1487.5;2145;36641.25;12110.5;119.25;0;3283.5;1848.75;3646.25;53.75;1826.25
Jan 1, 2025 1:00 PM;Jan 1, 2025 2:00 PM;3755.25;1489.25;2689.75;37617;10659.25;115.25;0;3242;1849.5;3623;140.25;1814.75
Jan 1, 2025 2:00 PM;Jan 1, 2025 3:00 PM;3762;1438.5;3463.5;38592;7043;124.5;0;3291.5;1836;3614;88;1772.75
Jan 1, 2025 3:00 PM;Jan 1, 2025 4:00 PM;3806.25;1425.75;4613;41261.75;2772.75;125.75;0;3348.5;1833.75;3590.5;97;1796.5
Jan 1, 2025 4:00 PM;Jan 1, 2025 5:00 PM;3971;1461;4720.5;41900;192.75;128;0;3395.75;1934.25;3642.5;432.25;1860.25
Jan 1, 2025 5:00 PM;Jan 1, 2025 6:00 PM;4099.25;1434;4809.75;43761.75;19.25;128;0;3337.25;2326.5;3691.25;393.25;1849.75
Jan 1, 2025 6:00 PM;Jan 1, 2025 7:00 PM;4131.5;1359.75;3803.25;44199.75;14.5;128;0;3289.25;2667.75;3698.5;516;1810.5
Jan 1, 2025 7:00 PM;Jan 1, 2025 8:00 PM;4113.5;1428.5;3496.75;43338.5;12.25;128;0;3308.75;2778.25;3732;448.75;1801.75
Jan 1, 2025 8:00 PM;Jan 1, 2025 9:00 PM;4036.25;1350;3979.25;42674.5;12.5;127;0;3209.5;2897.75;3586;404.25;1787.25
Jan 1, 2025 9:00 PM;Jan 1, 2025 10:00 PM;3975.5;1355.5;3979.5;41421.25;11.25;127.75;0;3195.25;3005;3563.5;556.25;1798.5
Jan 1, 2025 10:00 PM;Jan 1, 2025 11:00 PM;3930;1351.5;3853.5;39663.25;10;128.25;0;3192;3089.75;3531;560.75;1770
Jan 1, 2025 11:00 PM;Jan 2, 2025 12:00 AM;3832.75;1347.75;4115;39612.25;9.75;128.75;0;3186.25;3115;3526.75;487.5;1791.25
Jan 2, 2025 12:00 AM;Jan 2, 2025 1:00 AM;3726.5;1400.25;4033;37737.5;8.5;129.25;0;3441;3228.25;3563.5;693;1794.25
Jan 2, 2025 1:00 AM;Jan 2, 2025 2:00 AM;3723.5;1349.5;4753.75;36230.75;6.5;129.75;0;3844;2909.75;3346.5;451;1756.75
Jan 2, 2025 2:00 AM;Jan 2, 2025 3:00 AM;3727.25;1349.5;5264.75;34086;6;129;0;3941.25;2460.5;3390.75;411.25;1772
Jan 2, 2025 3:00 AM;Jan 2, 2025 4:00 AM;3731.75;1357.75;5593.75;32543.75;6.5;127.75;0;3999.5;2299.75;3488.75;423.25;1764
Jan 2, 2025 4:00 AM;Jan 2, 2025 5:00 AM;3762.75;1409;4933.75;30886.25;6;126.25;0;4464.75;2505.75;4083.5;148;1769.5
Jan 2, 2025 5:00 AM;Jan 2, 2025 6:00 AM;3818;1383.25;4567.5;29820;6;124.75;0;4668.75;2840.25;5120.25;178.75;1788.5
Jan 2, 2025 6:00 AM;Jan 2, 2025 7:00 AM;3901;1387.25;5589.25;28246;6.25;125;0;6380.25;3102.25;6210;203.5;1790.25
Jan 2, 2025 7:00 AM;Jan 2, 2025 8:00 AM;4078.25;1400.75;5867;25102.25;8.25;124;0;7933.75;3788;7606;305;1857.25
Jan 2, 2025 8:00 AM;Jan 2, 2025 9:00 AM;4267.75;1410.25;5753.25;22035.5;191.5;121;0;8889;4685.75;8599.75;1036.5;1869.75
Jan 2, 2025 9:00 AM;Jan 2, 2025 10:00 AM;4317.5;1374.75;5976.25;18455.5;1609;120;0;9359.5;4939.5;9233.5;934.5;1802
Jan 2, 2025 10:00 AM;Jan 2, 2025 11:00 AM;4267.5;1407;5100.75;15182;4077.75;122;0;9508.5;5127.25;10122.25;1126.75;1780.5
Jan 2, 2025 11:00 AM;Jan 2, 2025 12:00 PM;4177.25;1357.75;5169.5;12916;6173;124.75;0;9501.75;5194.25;10174.75;475.75;1779.75
Jan 2, 2025 12:00 PM;Jan 2, 2025 1:00 PM;4061;1378.5;5390.25;11792.5;6704.75;124;0;9447.75;5216;10159;220.5;1756.75
Jan 2, 2025 1:00 PM;Jan 2, 2025 2:00 PM;4032.25;1434.5;5468.25;11863.75;5859.25;125.75;0;9597.5;4907.75;10060;178.5;1760.5
Jan 2, 2025 2:00 PM;Jan 2, 2025 3:00 PM;4111.5;1541.25;5120.5;11327.5;3569.25;126.5;0;9493.75;4872;10082.75;866.25;1707.75
Jan 2, 2025 3:00 PM;Jan 2, 2025 4:00 PM;4250.25;1579.5;5181.25;11582;1084.25;125.25;0;9579.25;4878.5;10234;3801.5;1678
Jan 2, 2025 4:00 PM;Jan 2, 2025 5:00 PM;4395.25;1648.5;5315.5;12834.5;53;126.25;0;9626.5;4771.75;10444.75;3187.25;1707.25
Jan 2, 2025 5:00 PM;Jan 2, 2025 6:00 PM;4500.25;1723;6058.75;14678;22.5;127;0;9548.25;4774.25;10464.75;5922.25;1674.5
Jan 2, 2025 6:00 PM;Jan 2, 2025 7:00 PM;4522.25;1769.5;5556.5;15957.75;25.75;128;0;9594.5;4858.75;10894;5837.25;1704.75
Jan 2, 2025 7:00 PM;Jan 2, 2025 8:00 PM;4450.25;1671.5;5842.75;17922.5;17.5;127;0;9644.5;4791.75;11081;4846.5;1747.25
Jan 2, 2025 8:00 PM;Jan 2, 2025 9:00 PM;4328.25;1447;5894.5;18922;8;126.75;0;9671.75;4632.25;10892.25;2550.25;1782.25
Jan 2, 2025 9:00 PM;Jan 2, 2025 10:00 PM;4152.75;1180.25;5907;18811.75;6;127.75;0;9645.75;4489.25;9812.75;573.25;1783
Jan 2, 2025 10:00 PM;Jan 2, 2025 11:00 PM;4042;1345;6626.75;18384.25;7.75;128.5;0;9222.5;4777.75;9462;436.25;1803.5
Jan 2, 2025 11:00 PM;Jan 3, 2025 12:00 AM;3924.5;1446.25;6322.5;18797.5;7.5;129.75;0;8532.5;4502.75;8611.75;118.25;1767.75
Jan 3, 2025 12:00 AM;Jan 3, 2025 1:00 AM;3824.5;1392.25;5972.5;19065.5;6.75;129.75;0;8126;3851;8475.5;85.25;1784.5
Jan 3, 2025 1:00 AM;Jan 3, 2025 2:00 AM;3806;1354.25;5959.5;19264.5;7.5;128.75;0;8088;3556;8131;98.5;1751
Jan 3, 2025 2:00 AM;Jan 3, 2025 3:00 AM;3784;1361.75;6201.75;20140;6.5;129.25;0;8082.25;3820.25;8443.5;0.75;1723
Jan 3, 2025 3:00 AM;Jan 3, 2025 4:00 AM;3738.25;1370.75;5839.25;20813.75;8.25;130;0;7966;3871;8616;28.5;1706.5
Jan 3, 2025 4:00 AM;Jan 3, 2025 5:00 AM;3751.25;1366;5211.75;23143.5;8.75;128.25;0;7770.5;3954.5;8815.75;0;1734.5
Jan 3, 2025 5:00 AM;Jan 3, 2025 6:00 AM;3803.25;1396.25;4292.75;25405.75;9.25;128.5;0;7781.5;3973;9183.25;10;1727.5
Jan 3, 2025 6:00 AM;Jan 3, 2025 7:00 AM;3933;1419.75;2881.75;29083.25;14.25;127.25;0;7864;3930.75;9825.5;44.25;1718
Jan 3, 2025 7:00 AM;Jan 3, 2025 8:00 AM;4093;1509.25;1656.5;31334.5;18.75;126.25;0;7761.75;3977;9331.25;21.5;1711
Jan 3, 2025 8:00 AM;Jan 3, 2025 9:00 AM;4199.75;1503;1603.75;33359;175.25;128;0;7507;4429.5;9679.75;358.5;1710.75
Jan 3, 2025 9:00 AM;Jan 3, 2025 10:00 AM;4184;1498.25;1980.5;33738.75;1603.25;128.5;0;7417.5;4577.5;9771;251.5;1706.5
Jan 3, 2025 10:00 AM;Jan 3, 2025 11:00 AM;4055.75;1565;1435.25;34718.25;4113;125.5;0;7517.25;4820.5;9636.25;152.75;1717.75
Jan 3, 2025 11:00 AM;Jan 3, 2025 12:00 PM;3996.5;1518;1114.25;36049.75;6249.25;125.25;0;7502.25;4816.25;9698.25;49.5;1717.75
Jan 3, 2025 12:00 PM;Jan 3, 2025 1:00 PM;3894.75;1453.75;920.75;35860.25;6560;127;0;7125.75;4839.5;9502;24.25;1711.75
Jan 3, 2025 1:00 PM;Jan 3, 2025 2:00 PM;3879;1456.5;1404.5;34970;5877;129.25;0;6909.5;4744;9352.25;59.75;1715.25
Jan 3, 2025 2:00 PM;Jan 3, 2025 3:00 PM;3936;1446.75;3350.25;33328.75;3943.5;132.25;0;6863.75;4581;8661;62.75;1751.25
Jan 3, 2025 3:00 PM;Jan 3, 2025 4:00 PM;4061.25;1503.25;4003.75;32051.75;1574.5;129.75;0;7222.5;4793;9001;176.75;1745
Jan 3, 2025 4:00 PM;Jan 3, 2025 5:00 PM;4293.5;1523.25;4767.5;30777.5;115.25;130.25;0;8126;5059;9230.25;459.75;1713.5
Jan 3, 2025 5:00 PM;Jan 3, 2025 6:00 PM;4428.5;1640;5221.5;29469.75;10.75;130.75;0;8445.75;5203.25;9779.25;1882.5;1722.75
Jan 3, 2025 6:00 PM;Jan 3, 2025 7:00 PM;4496.25;1736;5097;27871.75;13.25;132.75;0;8522;5072;9829.25;2996.75;1733
Jan 3, 2025 7:00 PM;Jan 3, 2025 8:00 PM;4445.75;1547;5996;27043.25;9;134;0;9145;5053.5;9244.25;2150.25;1764
Jan 3, 2025 8:00 PM;Jan 3, 2025 9:00 PM;4207;1465;6374;26291;7.25;134;0;9566.5;5022.25;8689.75;913.75;1804.75
Jan 3, 2025 9:00 PM;Jan 3, 2025 10:00 PM;4014.75;1401.25;5915;26423.25;7.25;134.25;0;10226.5;5175;8098.75;143.75;1776.75
Jan 3, 2025 10:00 PM;Jan 3, 2025 11:00 PM;3919;1436.25;5334.75;24820.25;8.5;135;0;10330.75;5022.75;7690;286.75;1714.75
Jan 3, 2025 11:00 PM;Jan 4, 2025 12:00 AM;3878.5;1441.5;4315.25;23694.75;8.5;133.75;0;10840.25;4767.75;6765.5;858.75;1674.25
Jan 4, 2025 12:00 AM;Jan 4, 2025 1:00 AM;3865.75;1391.25;3566;22633;8.25;133.25;0;9860;4620.25;6131.5;293.75;1732.75
Jan 4, 2025 1:00 AM;Jan 4, 2025 2:00 AM;3782.25;1422.75;3423;20824;7.25;133.75;0;10373;4130.5;6111.25;194.25;1726.25
Jan 4, 2025 2:00 AM;Jan 4, 2025 3:00 AM;3761.5;1450.5;2837.5;18148.75;7.25;133.75;0;11070.25;3707;6056.25;338;1756.25
Jan 4, 2025 3:00 AM;Jan 4, 2025 4:00 AM;3764;1438.75;2052;15726.5;7;132.25;0;11256;3803.25;6111;316.75;1737.25
Jan 4, 2025 4:00 AM;Jan 4, 2025 5:00 AM;3845.5;1405.5;1518.25;13777.5;6.75;131;0;11421;4147.5;6316.5;314.75;1748.75
Jan 4, 2025 5:00 AM;Jan 4, 2025 6:00 AM;3927.25;1396.5;1173;11251.75;6.5;131.75;0;11630.5;4592.75;6594.25;256;1770.75
Jan 4, 2025 6:00 AM;Jan 4, 2025 7:00 AM;4041.5;1455.25;1245.75;9974.5;8.25;130.5;0;11870.25;5155.25;7234.25;264.25;1774
Jan 4, 2025 7:00 AM;Jan 4, 2025 8:00 AM;4198.75;1467.5;1109;9179.25;8.25;130.25;0;11913;5321.25;7698.75;368.75;1749.5
Jan 4, 2025 8:00 AM;Jan 4, 2025 9:00 AM;4320.25;1563.75;1636.75;8432;295;136;0;11933.25;5374;8490;1406.25;1765.25
Jan 4, 2025 9:00 AM;Jan 4, 2025 10:00 AM;4333.5;1561.25;2569.5;7564;1954;136.75;0;11967.75;5375.25;8836.25;1593;1787.5
Jan 4, 2025 10:00 AM;Jan 4, 2025 11:00 AM;4337;1584.5;2444;7336.5;4070;136.75;0;12179.5;5355.5;8848.75;1321;1774.75
Jan 4, 2025 11:00 AM;Jan 4, 2025 12:00 PM;4231.25;1508.25;3158;7405;5438.25;136;0;12190.5;5226.5;8842.75;765.75;1789.25
Jan 4, 2025 12:00 PM;Jan 4, 2025 1:00 PM;4158.5;1547.75;2453.75;7203.25;5847.25;136;0;12292.25;5208.25;8896;226;1774.5
Jan 4, 2025 1:00 PM;Jan 4, 2025 2:00 PM;4131;1495.25;2827;7335;5117;137;0;12291;5202.5;9272.5;1050.75;1778.5
Jan 4, 2025 2:00 PM;Jan 4, 2025 3:00 PM;4168.25;1534.25;2545.75;7530.25;3417.5;136.5;0;12290.75;5141.25;9730.75;1420.5;1795.75
Jan 4, 2025 3:00 PM;Jan 4, 2025 4:00 PM;4332.5;1563.75;2781.5;7402.5;1193.25;135.25;0;12314.25;5184.25;10105.5;3526.75;1760
