Month,Total Production [MWh],Total Consumption [MWh],Net Balance [MWh],Total Renewable [MWh],Total Conventional [MWh],Renewable Share [%],Residual Load [MWh]
2025-01,42431050.14,44170689.75,-1739639.6099999994,21982044.14,20449006.0,51.8065050652079,22188645.61
2025-02,37601211.0,40067317.230000004,-2466106.230000004,16667015.0,20934196.0,44.32573993428031,23400302.23
2025-03,37707997.76,40563594.77,-2855597.0100000054,19469569.009999998,18238428.75,51.63246570109057,21094025.76
2025-04,33490498.25,36341729.39,-2851231.1400000006,19933584.25,13556914.0,59.520118516003265,16408145.14
2025-05,34504090.0,36264727.81,-1760637.8100000024,24114296.25,10389793.75,69.88822556978029,12150431.56
2025-06,34502382.0,35278341.43,-775959.4299999997,25289737.25,9212644.75,73.29852544673582,9988604.18
2025-07,33616454.7,37035779.42,-3419324.719999999,21139579.95,12476874.75,62.88462045939662,15896199.47
2025-08,31975152.15,35373436.1,-3398283.950000003,21219999.9,10755152.25,66.36403104652622,14153436.2
2025-09,34504645.91,36471748.95,-1967103.0400000066,22642824.16,11861821.75,65.62253737963371,13828924.790000001
2025-10,39711732.56,40475526.45,-763793.8900000006,24470605.439999998,15241127.120000001,61.62059387116299,16004921.010000002
2025-11,38420121.67,41470312.23,-3050190.559999995,19114679.82,19305441.85,49.75174202773419,22355632.41
2025-12,39429885.55,42304479.65,-2874594.1000000015,21712494.52,17717391.029999997,55.066085577314084,20591985.13
